Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
" ALTERNATIVE HIGH SCHOOL FOR GIRLS, Agboju",State owned,Amuwo-Odofin,Secondary, altergirlssc@lagosschoolsonline.com, 08037218349,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11791"",""Read more"")"
"A & T COLLEGE, Tabon-Tabon",Privately owned,Agege,Secondary, ," 0803 385 4578,  0803 325 8098","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3079"",""Read more"")"
"A P COLLEGE,  Ejigbo",Privately owned,Oshodi-Isolo,Secondary, anyebe_peter@yahoo.com," 0805 193 2373,   0806 683 7468","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5551"",""Read more"")"
A-U-D JUNIOR COMPREHENSIVE HIGH SCHOOL,State owned,Oshodi-Isolo,Secondary, okotaaudjnr@yahoo.com, 0802 033 0476,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/934"",""Read more"")"
A-U-D JUNIOR GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, , 08023509792,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/933"",""Read more"")"
"A-Z COLLEGE, Oshodi",Privately owned,Oshodi-Isolo,Secondary, ," 0706 635 6131,   0803 247 8484","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10022"",""Read more"")"
"A.A. INTERNATIONAL COLLEGE, Satellite ",Privately owned,Amuwo-Odofin,Secondary, aainternationalschools@yahoo.com," 0802 315 0692,     0806 799 3820","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5642"",""Read more"")"
"A.D.S. JUNIOR GRAMMAR SCHOOL, Badagry",State owned, Badagry ,Secondary, , 0803 727 3972,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10216"",""Read more"")"
"A.U.D JUNIOR  HIGH SCHOOL,  Surulere",State owned,Surulere,Secondary, ansarjnrhigh@lagosschoolsonline.com," 0705 689 3910, 0803 438 2260","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1992"",""Read more"")"
A.U.D. COMPREHENSIVE JUNIOR HIGH SCHOOL,State owned,Oshodi-Isolo,Secondary, audcomp@lagosschoolsonline.com, 0802 033 0476,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12417"",""Read more"")"
"AARESTHER DIVINE SECONDARY SCHOOL, AJAO ESTATE.",Privately owned,Oshodi-Isolo,Secondary, aarestherdivine82@yahoo.com," 08030686955, 017914643","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11920"",""Read more"")"
"ABBOT DAYSPRING COLLEGE, Ayobo",Privately owned,Alimosho,Secondary, abbotdayspring@gmail.com," 0802-861-7793, 01 817 3266","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3464"",""Read more"")"
